file,start_time,sport,distance_km,duration_min,ascent_m,descent_m,gps_present,is_marathon_like
fits/2013-11-20_13-03-57_a187338cd1.fit,2013-11-20 13:03:57,running,11.38427,54.36911666666666,31.0,38.0,True,False
fits/2013-11-21_12-30-05_7548ce74c4.fit,2013-11-21 12:30:05,running,7.50423,41.48623333333333,56.0,67.0,True,False
fits/2013-11-24_17-58-30_3f83d0f2a1.fit,2013-11-24 17:58:30,running,13.00546,64.83916666666667,36.0,51.0,True,False
fits/2013-11-26_17-25-57_9a5ceec255.fit,2013-11-26 17:25:57,running,10.0039,50.95458333333333,110.0,112.0,True,False
fits/2013-11-28_10-29-11_6043d163f0.fit,2013-11-28 10:29:11,running,15.00591,79.51838333333333,166.0,141.0,True,False
fits/2013-12-01_09-46-04_0e9d65b039.fit,2013-12-01 09:46:04,running,16.60646,81.8225,29.0,24.0,True,False
fits/2013-12-03_17-08-13_85e8b6f784.fit,2013-12-03 17:08:13,running,8.32827,46.25371666666667,76.0,37.0,True,False
fits/2013-12-04_12-43-56_ca6cedef61.fit,2013-12-04 12:43:56,running,7.0074700000000005,32.15085,28.0,30.0,True,False
fits/2013-12-06_17-47-49_f8565f62f2.fit,2013-12-06 17:47:49,running,8.36055,42.212916666666665,91.0,42.0,True,False
fits/2013-12-08_13-00-18_eec9b4a6f2.fit,2013-12-08 13:00:18,running,16.12261,80.70081666666667,74.0,56.0,True,False
fits/2013-12-10_11-43-39_b57b86032c.fit,2013-12-10 11:43:39,running,10.00337,51.13458333333333,73.0,70.0,True,False
fits/2013-12-12_08-23-13_1d1feb704d.fit,2013-12-12 08:23:13,running,8.76535,43.021883333333335,27.0,41.0,True,False
fits/2013-12-15_09-48-55_d9c0aad2e2.fit,2013-12-15 09:48:55,running,19.00639,92.20575000000001,66.0,59.0,True,False
fits/2013-12-18_10-23-47_9ae7ce020c.fit,2013-12-18 10:23:47,running,11.157860000000001,56.67208333333333,130.0,122.0,True,False
fits/2013-12-19_11-22-28_3955aa9c8b.fit,2013-12-19 11:22:28,running,7.17145,32.796683333333334,82.0,79.0,True,False
fits/2013-12-21_12-52-35_80a23a0d87.fit,2013-12-21 12:52:35,running,21.263090000000002,116.87203333333333,174.0,186.0,True,False
fits/2013-12-23_11-05-07_48132a9bad.fit,2013-12-23 11:05:07,running,11.25483,53.160833333333336,73.0,84.0,True,False
fits/2013-12-25_10-11-46_6b122ca5b0.fit,2013-12-25 10:11:46,running,8.554590000000001,39.23471666666667,42.0,31.0,True,False
fits/2013-12-26_10-54-56_63f83051be.fit,2013-12-26 10:54:56,running,8.30031,40.75578333333333,26.0,33.0,True,False
fits/2013-12-29_13-30-48_8c6e1dd02a.fit,2013-12-29 13:30:48,running,19.04028,105.73291666666667,216.0,221.0,True,False
fits/2014-01-01_13-11-28_b7311fcb1b.fit,2014-01-01 13:11:28,running,12.00288,55.200466666666664,72.0,40.0,True,False
fits/2014-01-03_11-15-53_eac1b9dfbc.fit,2014-01-03 11:15:53,running,6.07541,30.989583333333332,52.0,46.0,True,False
fits/2014-01-05_12-16-28_7d6c5843b0.fit,2014-01-05 12:16:28,running,21.82575,108.87226666666668,100.0,77.0,True,False
fits/2014-01-09_19-46-05_48d826b8d3.fit,2014-01-09 19:46:05,running,10.38545,53.15586666666666,104.0,111.0,True,False
fits/2014-01-12_09-59-34_3e12498a30.fit,2014-01-12 09:59:34,running,12.50565,64.0433,208.0,156.0,True,False
fits/2014-01-14_08-58-16_c7e9f4ddc0.fit,2014-01-14 08:58:16,running,16.48462,82.52536666666667,76.0,48.0,True,False
fits/2014-01-18_09-03-33_c03c00c645.fit,2014-01-18 09:03:33,running,4.848529999999999,21.461666666666666,36.0,39.0,True,False
fits/2014-01-20_10-05-14_ade75149a2.fit,2014-01-20 10:05:14,running,19.51021,102.62041666666667,190.0,180.0,True,False
fits/2014-01-26_10-37-10_36bb2b0e62.fit,2014-01-26 10:37:10,running,30.16637,162.45658333333333,155.0,64.0,True,False
fits/2014-02-02_09-14-52_d3e0bccc3a.fit,2014-02-02 09:14:52,running,16.03068,80.477,52.0,67.0,True,False
fits/2014-02-07_13-35-50_2f795b8d69.fit,2014-02-07 13:35:50,running,21.15568,112.1317,110.0,126.0,True,False
fits/2014-02-23_13-43-58_ec77830927.fit,2014-02-23 13:43:58,running,10.006620000000002,49.493249999999996,47.0,47.0,True,False
